timestamp,start_time,start_position_lat,start_position_long,end_position_lat,end_position_long,total_elapsed_time,total_timer_time,total_distance,total_strides,total_calories,enhanced_avg_speed,avg_speed,enhanced_max_speed,max_speed,total_ascent,total_descent,event,event_type,avg_heart_rate,max_heart_rate,avg_running_cadence,max_running_cadence,lap_trigger,sub_sport,avg_fractional_cadence,max_fractional_cadence,total_fractional_cycles,avg_vertical_oscillation,avg_temperature,max_temperature,timestamp_utc,timezone
2025-01-18 01:44:43-06:00,2025-01-18 07:38:54,,,,,349.866,232.029,200.0,,59,3.1032,3.1032,4.3704,4.3704,,,lap,stop,,,,,distance,lap_swimming,,,,,,,2025-01-18 07:44:43,
2025-01-18 01:45:43-06:00,2025-01-18 07:44:43,,,,,59.691,59.691,,,1,,,,,,,lap,stop,,,,,time,lap_swimming,,,,,,,2025-01-18 07:45:43,
2025-01-18 01:46:45-06:00,2025-01-18 07:45:43,,,,,61.94,61.018,50.0,,13,2.9484,2.9484,4.4388000000000005,4.4388000000000005,,,lap,stop,,,,,distance,lap_swimming,,,,,,,2025-01-18 07:46:45,
2025-01-18 01:46:54-06:00,2025-01-18 07:46:45,,,,,9.078,9.078,,,2,,,,,,,lap,stop,,,,,time,lap_swimming,,,,,,,2025-01-18 07:46:54,
2025-01-18 01:49:44-06:00,2025-01-18 07:46:54,,,,,169.606,168.996,100.0,,33,2.1311999999999998,2.1311999999999998,3.384,3.384,,,lap,stop,,,,,distance,lap_swimming,,,,,,,2025-01-18 07:49:44,
2025-01-18 01:50:03-06:00,2025-01-18 07:49:44,,,,,19.391,19.391,,,0,,,,,,,lap,stop,,,,,time,lap_swimming,,,,,,,2025-01-18 07:50:03,
2025-01-18 01:53:50-06:00,2025-01-18 07:50:03,,,,,226.506,225.997,150.0,,52,2.3904,2.3904,2.988,2.988,,,lap,stop,,,,,distance,lap_swimming,,,,,,,2025-01-18 07:53:50,
2025-01-18 01:54:19-06:00,2025-01-18 07:53:50,,,,,29.491,29.491,,,1,,,,,,,lap,stop,,,,,time,lap_swimming,,,,,,,2025-01-18 07:54:19,
2025-01-18 02:00:21-06:00,2025-01-18 07:54:19,,,,,361.528,360.999,200.0,,68,1.9944000000000002,1.9944000000000002,3.3012,3.3012,,,lap,stop,,,,,distance,lap_swimming,,,,,,,2025-01-18 08:00:21,
2025-01-18 02:01:20-06:00,2025-01-18 08:00:21,,,,,59.47,59.47,3.44,,1,0.2088,0.2088,,,,,lap,stop,,,,,time,lap_swimming,,,,,,,2025-01-18 08:01:20,
2025-01-18 02:05:28-06:00,2025-01-18 08:01:20,,,,,248.052,247.993,150.0,,44,2.178,2.178,4.2084,4.2084,,,lap,stop,,,,,distance,lap_swimming,,,,,,,2025-01-18 08:05:28,
2025-01-18 02:05:58-06:00,2025-01-18 08:05:28,,,,,29.941,29.941,25.86,,8,3.1104,3.1104,,,,,lap,stop,,,,,time,lap_swimming,,,,,,,2025-01-18 08:05:58,
2025-01-18 02:07:40-06:00,2025-01-18 08:05:58,,,,,102.018,102.013,100.0,,24,3.528,3.528,3.4488,3.4488,,,lap,stop,,,,,distance,lap_swimming,,,,,,,2025-01-18 08:07:40,
2025-01-18 02:08:00-06:00,2025-01-18 08:07:40,,,,,19.994,19.994,,,1,,,,,,,lap,stop,,,,,time,lap_swimming,,,,,,,2025-01-18 08:08:00,
2025-01-18 02:09:41-06:00,2025-01-18 08:08:00,,,,,101.189,100.989,50.0,,13,1.782,1.782,4.212,4.212,,,lap,stop,,,,,distance,lap_swimming,,,,,,,2025-01-18 08:09:41,
2025-01-18 02:09:51-06:00,2025-01-18 08:09:41,,,,,9.8,9.8,,,3,,,,,,,lap,stop,,,,,time,lap_swimming,,,,,,,2025-01-18 08:09:51,
2025-01-18 02:14:16-06:00,2025-01-18 08:09:51,,,,,264.429,251.512,100.0,,41,1.4328,1.4328,3.5856,3.5856,,,lap,stop,,,,,distance,lap_swimming,,,,,,,2025-01-18 08:14:16,
